0	1	1.56328033e-01
1	2	1.16905479e-01
2	3	1.09899733e-01
3	4	1.42567293e-01
4	5	1.42533304e-01
5	6	1.42133733e-01
5	7	8.37207923e-02
4	8	1.09673429e-01
8	9	1.33210319e-01
8	10	8.48552930e-02
3	11	2.05811697e-01
11	12	1.67054314e-01
12	13	1.93054821e-01
12	14	1.61215822e-01
11	15	1.28758721e-01
15	16	2.00210532e-01
15	17	9.40408252e-02
2	18	1.41223230e-01
18	19	1.04342381e-01
19	20	1.75305190e-01
20	21	1.89282153e-01
20	22	1.10113876e-01
19	23	1.45597299e-01
23	24	1.47496662e-01
23	25	7.95636116e-02
18	26	1.39355960e-01
26	27	1.95926418e-01
27	28	1.12306327e-01
27	29	9.08143835e-02
26	30	2.16952713e-01
30	31	8.01024679e-02
30	32	8.90261911e-02
1	33	8.96225088e-02
33	34	1.32228988e-01
34	35	1.85790242e-01
35	36	1.47398828e-01
36	37	1.02936147e-01
36	38	9.79559829e-02
35	39	1.96781310e-01
39	40	1.62815530e-01
39	41	1.55438181e-01
34	42	1.15569225e-01
42	43	9.35015119e-02
43	44	1.83057824e-01
43	45	1.45687838e-01
42	46	2.27600363e-01
46	47	8.40664787e-02
46	48	1.06710260e-01
33	49	1.52473598e-01
49	50	1.56551878e-01
50	51	7.92094206e-02
51	52	2.16019256e-01
51	53	1.59424374e-01
50	54	1.89591987e-01
54	55	1.21158509e-01
54	56	1.40966737e-01
49	57	1.31866976e-01
57	58	1.40988352e-01
58	59	1.83395689e-01
58	60	1.40349569e-01
57	61	1.95774258e-01
61	62	1.24820056e-01
61	63	1.15621421e-01
0	64	1.19707399e-01
64	65	1.17993999e-01
65	66	1.83739917e-01
66	67	1.45046652e-01
67	68	1.59395871e-01
67	69	9.32042620e-02
66	70	1.40693856e-01
70	71	1.30998952e-01
70	72	1.12718661e-01
65	73	2.10989648e-01
73	74	1.63802477e-01
74	75	1.33392215e-01
74	76	1.23593699e-01
73	77	1.44242028e-01
77	78	1.59177846e-01
77	79	1.20093536e-01
64	80	1.49714789e-01
80	81	1.45377302e-01
81	82	1.91124036e-01
82	83	9.49699330e-02
82	84	1.21167233e-01
81	85	1.87256695e-01
85	86	1.63262578e-01
85	87	1.03883288e-01
80	88	1.22914571e-01
88	89	1.44799887e-01
89	90	1.45913096e-01
89	91	1.08350763e-01
88	92	1.73609302e-01
92	93	1.00026525e-01
92	94	1.23271982e-01
0	95	7.78975474e-02
95	96	1.61745027e-01
96	97	1.36634686e-01
97	98	1.61379027e-01
98	99	1.13369534e-01
98	100	1.10563501e-01
97	101	2.04074955e-01
101	102	1.38725224e-01
101	103	1.33867540e-01
96	104	1.92422674e-01
104	105	1.78020440e-01
105	106	1.65162749e-01
105	107	1.57881739e-01
104	108	1.32306926e-01
108	109	1.73158932e-01
108	110	1.03771483e-01
95	111	1.31175566e-01
111	112	1.65664417e-01
112	113	1.11264306e-01
113	114	1.32906124e-01
113	115	1.18444845e-01
112	116	1.80476547e-01
116	117	1.44573693e-01
116	118	9.88967227e-02
111	119	1.51238573e-01
119	120	1.77322592e-01
120	121	1.70822559e-01
120	122	2.45716042e-02
119	123	1.82733309e-01
123	124	1.06831137e-01
123	125	1.18279670e-01
